,text,labels
14,The announcement follows a U.S. offer to mediate discussions between the two sides in an effort to revive the stalled peace process .,O O O O B-geo O O O O O O O O O O O O O O O O O O
15,Details of the deals were not immediately available .,O O O O O O O O O
16,"The news was welcomed in Congo , where despite large oil reserves and a wealth of other natural resources , more than half the population of some four million lives below the poverty line .",O O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
17,"A Texas Supreme Court justice , Ms. Owen was one of seven nominees blocked by Democrats during the president 's first term .",O B-org I-org I-org I-org I-org B-per B-org O O O O O O O O O O O O O O O
18,"Four more ministers in Somalia 's transitional government have resigned , citing criticism of Prime Minister Mohammed Ali Gedi .",O O O O B-geo O O O O O O O O O B-per O B-per I-per I-per O
19,"A separate study earlier this year found that a vaccine developed by British firm , GlaxoSmithKline , was 92 percent effective in blocking cancer from four HPVs .",O O O O O O O O O O O O B-gpe O O B-org O O O O O O O O O O B-geo O
20,Zimbabwe 's main labor union says two South African-based trade union workers were deported Wednesday shortly after they arrived in Harare where they were planning to discuss the establishment of a trade union school .,B-geo O O O O O O B-geo O O O O O O B-tim O O O O O B-geo O O O O O O O O O O O O O O
21,Student groups and political parties are among a number of organizations that have held protests against the king 's move .,O O O O O O O O O O O O O O O O O O O O O
22,She says the Health Department follows methodology developed by the United Nations .,O O O B-org I-org O O O O O B-org I-org O
23,Dominguez was on trial for smuggling five baseball players from Cuba to Florida in 2004 .,B-per O O O O O O O O O B-geo O B-geo O B-tim O
24,"Syria is widely accused of involvement in his killing , and Friday 's explosion comes days before U.N. investigator Detlev Mehlis is to return to Damascus to interview several Syrian officials about the assassination .",B-geo O O O O O O O O O O B-tim O O O O O B-geo O B-per I-per O O O O B-geo O O O B-gpe O O O O O
25,The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area .,O O O O O O B-per I-per I-per O O O B-geo I-geo B-tim O O O O O O O B-geo I-geo O O
26,The southern secessionist movement was revitalized in 2008 when a popular socioeconomic protest movement initiated the prior year took on political goals including secession .,O O O O O O O B-tim O O O O O O O O O O O O O O O O O
27,He also noted that Egypt and the Gulf Cooperation Council have begun looking into nuclear programs .,O O O O B-geo O O O B-org I-org O O O O O O O
28,Afghan authorities have blamed the increase in suicide attacks and car-bomb explosions on foreign insurgents .,B-gpe O O O O O O O O O O O O O O O
29,"The Justice First party announced its decision Wednesday , one day after the Democratic Action , Project Venezuela and Copei parties announced their withdrawal .",O B-org I-org O O O O B-tim O O O O O B-org I-org O B-org I-org I-org I-org I-org O O O O
30,"The Tata plant was set to manufacture what is being called the world 's cheapest car - the "" Nano . """,O B-org O O O O O O O O O O O O O O O O O O O O
31,"French filmmaker Eric Rohmer , a founding director of the French "" New Wave "" movement , has died at the age of 89 .",B-gpe O B-per I-per O O O O O O B-gpe O O O O O O O O O O O O O O
32,Mr. Zelaya 's opponents say he was ousted because he was trying to illegally change the constitution to extend his term in office .,B-per I-per O O O O O O O O O O O O O O O O O O O O O O
33,Investors were also encouraged by the news from the manufacturing sector .,O O O O O O O O O O O O
34,Men often bear little grievances with less courage than they do large misfortunes .,O O O O O O O O O O O O O O
35,The Afghan and U.S.-led troops battled the militants Sunday in Qalat district of Zabul province .,O B-gpe O O O O O O B-tim O B-geo O O B-geo O O
36,Brazil says the subsidies artificially drive down world prices and hurt Brazilian producers .,B-geo O O O O O O O O O O B-gpe O O
37,"A ceasefire agreed to last week has largely ended the violence , but has done little to resolve the standoff .",O O O O O O O O O O O O O O O O O O O O O
38,"The United Nations refugee agency says four armed men attacked one of its field offices in Darfur , shooting a guard in the leg .",O B-org I-org O O O O O O O O O O O O O B-geo O O O O O O O O
39,Guerrillas loyal to Zaraqawi 's group also took responsibility for some of the attacks Monday in Iraq that left 25 people dead .,O O O B-geo O O O O O O O O O O B-tim O B-geo O O O O O O
40,"Police say it seems the place where the blast occurred was not the target , and that the attacker was transporting the bomb .",O O O O O O O O O O O O O O O O O O O O O O O O
41,All four suspects were arrested earlier this year .,O O O O O O O O O
42,"The United States and its Western allies accuse Iran of trying to develop nuclear weapons , but Iran says its atomic program is for peaceful purposes .",O B-org I-org O O O O O B-geo O O O O O O O O B-geo O O O O O O O O O
43,The U.S. military says three al-Qaida terrorists linked to bombings in Baghdad have been arrested .,O B-geo O O O B-org O O O O O B-geo O O O O
44,But Amnesty International cites sources as saying as many as 12 people were shot and killed by security forces .,O O O O O O O O O O O O O O O O O O O O
45,"Washington says the anti-missile system is intended to defend the United States and NATO allies against potential ballistic missile attacks by what it calls "" rogue states , "" notably Iran .",B-geo O O O O O O O O O B-geo I-geo O B-org O O O O O O O O O O O O O O O O B-geo O
46,The ministry said the broadcast supported the propaganda of terrorism and made direct threats against Russian citizens .,O O O O O O O O O O O O O O O B-gpe O O
47,"About 17,000 US military personnel are in Afghanistan trying to weed out Taleban remnants .",O O O O O O O B-geo O O O O B-org O O
48,He and several others in the group remain under foreign supervision in a Palestinian prison for their role in the 2001 assassination of Israeli Cabinet minister Rehavam Zeevi .,O O O O O O O O O O O O O B-gpe O O O O O O B-tim O O B-gpe O O B-per I-per O
49,"She said they were abducted Thursday at an airstrip southeast of Geneina , the capital of West Darfur state .",O O O O O B-tim O O O O O B-geo O O O O B-geo I-geo O O
50,"The announcement followed Wednesday 's third round of coalition talks between Christian Democratic leader Angela Merkel and Chancellor Gerhard Schroeder , who heads the ruling Social Democrats .",O O O B-tim O O O O O O O O O O B-per I-per O B-per I-per I-per O O O O O O O O
51,"U.S. and Iraqi officials say that in the past two weeks the bodies of more than 50 people , many of them shot execution-style , have been found in and near Mosul .",B-geo O B-gpe O O O O O B-tim I-tim O O O O O O O O O O O O O O O O O O O O O B-geo O
52,"Authorities said the building toppled late Tuesday , flattening surrounding homes .",O O O O O O B-tim O O O O O
53,The group said Israel also limits the Palestinian Authority 's ability to drill new wells .,O O O B-geo O O O B-gpe O O O O O O O O
54,The European Union has warned Iran to stop uranium processing and enrichment activities or face referral to the Security Council .,O B-org I-org O O B-geo O O O O O O O O O O O O B-org I-org O
55,Participants in Sunday 's demonstration in Cairo included Egyptian human rights activists .,O O B-tim O O O B-geo O B-gpe O O O O
56,Russian President Vladimir Putin and Venezuelan President Hugo Chavez discussed trade and economic issues - as well as arms sales - during a meeting in Moscow Friday .,B-gpe B-per I-per I-per O B-gpe B-per I-per I-per O O O O O O O O O O O O O O O O B-tim I-tim O
57,"A government-backed agency , the China Internet Network Information Center , reported Thursday that the number of Internet users has grown by 36 million since it last reported the official tally in late 2009 .",O O O O O B-geo O O B-org I-org O O B-tim O O O O O O O O O O O O O O O O O O O O B-tim O
58,A spokeswoman for the U.S. Geological Survey said the minor earthquake was the largest recorded within 50 kilometers of Washington since a database was created to track such activity in 1974 .,O O O O B-org I-org I-org O O O O O O O O O O O O B-geo O O O O O O O O O O B-tim O
59,The government regularly blames exile groups that oppose military rule .,O O O O O O O O O O O
60,The second test ended in a draw .,O O O O O O O O
61,"Witnesses say gunmen stormed the Armenian and Chaldean churches Tuesday , planting explosives that detonated , setting the buildings on fire .",O O O O O B-gpe O O O B-tim O O O O O O O O O O O O
62,Mr. Abbas and Israeli Prime Minister Ariel Sharon declared a cease-fire at a February 8 summit meeting in Egypt .,B-per I-per O B-gpe B-per I-per I-per I-per O O O O O B-tim I-tim O O O B-geo O
63,The economy probably will continue to experience high grow well into 2011 .,O O O O O O O O O O O B-tim O
64,"Also Thursday , Turkish authorities said suspected militants killed at least four forestry workers and wounded four others .",O B-tim O B-gpe O O O O O O O O O O O O O O O
65,"Gabon enjoys a per capita income four times that of most sub-Saharan African nations , but because of high income inequality , a large proportion of the population remains poor .",B-org O O O O O O O O O O O B-gpe O O O O O O O O O O O O O O O O O O
66,The leader of Germany 's Social Democratic Party says he will not run again for that post and might not serve in a new cabinet .,O O O B-geo O B-org I-org I-org O O O O O O O O O O O O O O O O O O
67,"Spokesman for the joint U.N.-Afghan election commission , Aleem Siddique says the physical count is complete with the exception of those materials that are subject to audit .",O O O O O O O O B-per I-per O O O O O O O O O O O O O O O O O O
68,They are believed to have been carried out by U.S. remote-controlled aircraft .,O O O O O O O O O B-geo O O O
69,Chinese state media on Friday reported Mr. Kim met a visiting Chinese envoy in Pyongyang .,B-gpe O O O B-tim O B-per I-per O O O B-gpe O O B-geo O
70,"Following his election to the council Monday , political science professor Noranit Setabutr said a new draft constitution would be completed within 180 days .",O O O O O O B-tim O O O O B-org I-org O O O O O O O O B-tim I-tim O O
71,"The pontiff also asked that the nation 's health programs "" respect life , "" an apparent reference to abortion , which the church opposes .",O O O O O O O O O O O O O O O O O O O O O O O O O O
72,"Iraqi officials say a car bomb exploded near a Shi'ite mosque on the outskirts of Mosul , killing nine people and wounding others .",B-gpe O O O O O O O O O O O O O O B-geo O O O O O O O O
73,It was the second time this year NATO has held Mr. Tesic for questioning .,O O O O O O O B-org O O B-per I-per O O O
74,Belgian officials have tightened security in the country after the arrest of 14 suspects accused of planning to free an imprisoned member of al-Qaida .,B-gpe O O O O O O O O O O O O O O O O O O O O O O B-org O
75,"Ten civilians were killed , including a one-year-old girl .",O O O O O O O O O O
76,"The Banco del Sur , or Bank of the South , is to be officially established on November third in Caracas , Venezuela .",O B-org I-org I-org O O B-org O B-geo I-geo O O O O O O O B-tim I-tim O B-geo O B-geo O
77,"A spokeswoman , Patricia Tome , says the head of the mission , William Swing , received a telephone call from a Rwandan official , advising him of the action .",O O O B-per I-per O O O O O O O O B-per I-per O O O O O O O B-gpe O O O O O O O O
78,"President Bush has outlined the agenda for his second term in office and has asked for the support of all Americans , but Democrats have expressed reservations .",B-per I-per O O O O O O O O O O O O O O O O O O B-gpe O O O O O O O
79,The U.S. secretary of agriculture says he has taken immediate action to ensure that future beef exports meet Japanese requirements .,O B-geo O O O O O O O O O O O O O O O O B-gpe O O
80,A spokeswoman for the Israeli embassy in France said the overflights must continue to prevent arms from being smuggled to Hezbollah .,O O O O B-gpe O O B-geo O O O O O O O O O O O O B-org O
81,The report showed gasoline supplies falling last week by just over two million barrels to a total of 203.1 million barrels .,O O O O O O O O O O O O O O O O O O O O O O
82,"Media advocacy groups like Reporters Without Borders have strongly criticized the moves , saying the government is trying to censor unwelcome news .",O O O O O O O O O O O O O O O O O O O O O O O
83,"Barak told Israel 's parliament last week that an internal inquiry will aim to establish whether Israel 's raid on the ship , and its Gaza blockade , are in keeping with international law .",B-per O B-geo O O O O O O O O O O O O O B-geo O O O O O O O O B-geo O O O O O O O O O
84,The China Daily reports the annual budget for AIDS prevention programs will rise to 185-million dollars over the next two years - nearly twice the $ 99 million spent this year on anti-AIDS campaigns .,O B-geo I-geo O O O O O O O O O O O O O O O O B-tim O O O O O O O O O O O O O O O
85,"Bosnian police have arrested a former Bosnian Serb police officer suspected of genocide in the 1995 massacre of 8,000 Muslim men and boys .",B-gpe O O O O O B-gpe I-gpe O O O O O O O B-tim I-tim I-tim I-tim I-tim O O O O
86,Security has also been a concern during this election season .,O O O O O O O O B-tim I-tim O
87,South Korea 's JoongAng Ilbo reports the North Korean joined a group of refugees who entered the South Korean Embassy in Beijing in 2002 .,B-geo I-geo O B-org I-org O B-geo I-geo B-gpe O O O O O O O B-geo I-geo B-gpe B-geo O B-geo O B-tim O
88,"The Israeli army says one of the rockets fired from Gaza struck an Israeli factory near the town of Ashkelon and set it ablaze , injuring one Israeli .",O B-gpe O O O O O O O O B-geo O O B-gpe O O O O O B-org O O O O O O O B-gpe O
89,"Officials are still awaiting test results to see if the boys were infected with the H5N1 bird flu strain , which can be deadly to humans .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
90,Lawyers are expected to begin screening the first of as many as 750 potential jurors at a Santa Barbara county court Monday for the trial that could last several months .,O O O O O O O O O O O O O O O O O B-geo I-geo O O B-tim O O O O O O B-tim O O
91,Local police say at least one home was destroyed in Allahabad village during the incident .,O O O O O O O O O O B-geo O O O O O
92,Chambers served a two-year doping ban between 2003 and 2005 and appealed to London 's High Court for an injunction against the British Olympic Association 's ban for drug cheats .,O O O O O O B-tim I-tim I-tim I-tim O O O B-geo O B-org I-org O O O O O B-gpe O B-org O O O O O O
93,Haiti has seen a mounting wave of violence as it prepares for elections later this year .,B-geo O O O O O O O O O O O O B-tim O O O
94,"Pope Benedict has called on wealthy nations to set aside their "" narrow interests "" to work toward a trade deal that would help poorer countries .",B-per I-per O O O O O O O O O O O O O O O O O O O O O O O O O
95,"The blast also slightly wounded two bystanders , including a 13-year-old boy .",O O O O O O O O O O O O O
96,Mr. Chavez said Venezuela would use the aircraft and vessels to patrol land and sea borders to prevent drug trafficking .,B-per I-per O B-geo O O O O O O O O O O O O O O O O O
97,But he said Fallujah is not quite secure yet .,O O O B-geo O O O O O O
98,Islamist insurgents have waged a bloody 17-month battle against Somalia 's Ethiopian-backed interim government .,O O O O O O O O O B-geo O O O O O
99,The police chief for the Sindh province Jehangir Mirza says the suspects were captured during an early morning Monday raid .,O O O O O B-geo O B-per I-per O O O O O O O B-tim I-tim I-tim O O
100,Autonomy for the Swazis of southern Africa was guaranteed by the British in the late 19th century ; independence was granted in 1968 .,O O O B-gpe O O B-geo O O O O B-gpe O O O O O O O O O O B-tim O
101,The Spanish court says it will give German authorities 40 days to present standard extradition documents .,O B-gpe O O O O O B-gpe O B-tim O O O O O O O
102,"Iraqi authorities say they have found a mass grave containing at least 20 bodies in Karbala , a holy city for Shi'ite Muslims .",B-gpe O O O O O O O O O O O O O O B-geo O O O O O B-org I-org O
103,"The mediation proposal is reported to include a unity government , early national elections and passage of a U.N.-proposed international tribunal to try suspects in last year 's assassination of former Prime Minister Rafik al-Hariri .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-per O B-per I-per O
104,Japanese Chief Cabinet Secretary Hiroyuki Hosoda says Tokyo is analyzing new evidence from Pyongyang on the abductions .,B-gpe O O B-per I-per I-per O B-geo O O O O O B-tim O O O O
105,A Mexican diplomat says he has met with the leader of Colombia 's second largest rebel group in an effort to broker a peace deal between the group and the Colombian government .,O B-gpe O O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O B-gpe O O
106,"Nearly 3,000 U.S. military personnel have been killed in Iraq since the U.S.-led invasion began in 2003 .",O O B-geo O O O O O O B-geo O O O O O O B-tim O
107,Admiral Allen has been overseeing the rescue and recovery efforts in the devastated city of New Orleans .,O B-per O O O O O O O O O O O O O B-geo I-geo O
108,The newspaper comments come amid renewed speculation that a new round of negotiations could begin within the next few weeks .,O O O O O O O O O O O O O O O O O O B-tim O O
109,"Iran is facing mounting international pressure over its nuclear program , which the United States alleges is aimed at developing nuclear weapons .",B-geo O O O O O O O O O O O O B-geo I-geo O O O O O O O O
110,"The statements came a day after Afghan religious leaders issued a fatwa , or religious decree , pledging death to anyone killing a foreigner who is in the country legally .",O O O O O O B-gpe O O O O O O O O O O O O O O O O O O O O O O O O
111,"A large percentage of the population , especially in rural areas , derives its living from agricultural activity , often on a subsistence basis .",O O O O O O O O O O O O O O O O O O O O O O O O O
112,A former Egyptian militant says Iran has secretly handed over to Cairo the alleged mastermind of a failed 1995 assassination attempt on Egyptian President Hosni Mubarak .,O O B-gpe O O B-geo O O O O O B-geo O O O O O O B-tim O O O B-gpe B-per I-per I-per O
113,The new leader of Israel 's main opposition Labor Party is threatening to back a plan to topple Prime Minister Ariel Sharon 's government and force early elections .,O O O O B-geo O O O O B-org O O O O O O O O B-per O B-per I-per O O O O O O O
114,They have pleaded not guilty to the charges and complained of alleged torture while in detention .,O O O O O O O O O O O O O O O O O
115,"The commissioner 's office says some 2,18,000 Burundians were forced out of their homeland by violence that year , and now he would like to get as many home as possible .",O O O O O O O B-gpe O O O O O O O O B-tim O O O O O O O O O O O O O O O
116,The IAEA board meets later this month ( November 24 ) to consider further action .,O B-org O O B-tim O O O B-tim I-tim O O O O O O
117,"Earlier this month , South Korean diplomats took custody of another group of people believed to be North Koreans who entered the same school asking to be sent to South Korea .",O O O O O B-gpe O O O O O O O O O O O B-org B-gpe O O O O O O O O O O B-geo I-geo O
118,"An aggressive austerity program in the preceding years , aimed at paving the way for the euro , helped turn a soaring fiscal deficit ( 6.3 % in 2003 ) into a surplus of 1.2 % in 2008 , and reduced inflation to 4.7 % .",O O O O O O B-tim O O O O O O O O O O O O O O O O O O O O O B-tim O O O O O O O O B-tim O O O O O O O O
119,"Several weeks ago , Cuban President Raul Castro said his government would scale back its involvement in the nation 's economy and allow more Cubans to operate their own businesses and hire workers .",B-tim O O O B-gpe B-per I-per I-per O O O O O O O O O O O O O O O O B-gpe O O O O O O O O O
120,"Sunday , Reporters Without Borders said separatist gunmen murdered a local newspaper reporter as he drove in his car in Baluchistan province .",B-tim O O O O O O O O O O O O O O O O O O O B-geo O O
121,World Health Organization officials are meeting in Geneva to consider the possibility of a global human bird flu pandemic as the deadly H5N1 strain continues to spread rapidly in birds .,O B-org I-org O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O O
122,The Syrian headquarters was notorious for the arrest and torture of Lebanese prisoners during its nearly three-decade presence in Lebanon .,O B-gpe O O O O O O O O O B-gpe O O O O O O O B-geo O
123,"Witnesses say one hotel , Ghazala Gardens , in the town of Sharm el-Sheik was heavily damaged by the attacks , which also targeted a tourist bazaar in the Naama Bay area .",O O O O O B-org I-org O O O O O B-geo I-geo O O O O O O O O O O O O O O O B-geo I-geo O O
124,About 500 people from across Europe were in a large exhibition hall in the Katowice area when the building 's snow-covered roof caved in .,O O O O O B-geo O O O O O O O O B-geo O O O O O O O O O O
125,"Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market .",B-org I-org I-org O O O O O O O O O O O O O O O O O O O O O O
126,"Mr. Chen has said he wants to revise Taiwan 's constitution , a move China has criticized as a dangerous step towards formal independence .",B-per I-per O O O O O O B-geo O O O O O B-geo O O O O O O O O O O
127,The volatile North Waziristan region is a known hideout for Taleban remnants .,O O B-geo I-geo O O O O O O B-org O O
128,The Cayman Islands were colonized from Jamaica by the British during the 18th and 19th centuries and were administered by Jamaica after 1863 .,O B-org I-org O O O B-geo O O B-org O O B-tim I-tim I-tim O O O O O B-geo O B-tim O
129,"Third place went to Formula 1 world champion Fernando Alonso of Spain , while Ethiopian distance runner Kenenisa Bekele took fourth place .",O O O O O O O O B-per I-per O B-geo O O B-gpe O O B-per I-per O O O O
130,Football 's world governing body has threatened to ban Nigeria from international competition unless the country 's sports ministry repeals two recent appointments to the Nigeria Football Association .,O O O O O O O O O B-geo O O O O O O O O O O O O O O O B-org I-org I-org O
131,One bishop told a Cypriot newspaper that the pope is a heretic and that it would be better if he did not visit .,O O O O B-gpe O O O O O O O O O O O O O O O O O O O
132,"News reports from the Burmese capital quote diplomatic analysts as saying the Ministries of Agriculture , Defense , Energy and Information will relocate to Pyinmana , just over 150 kilometers north of Rangoon , within a few months .",O O O O B-gpe O O O O O O O B-org I-org I-org I-org I-org O B-org I-org I-org O O O B-geo O O O O O O O B-geo O O O B-tim O O
133,Mr. Whitman said none of them have been charged with a crime and that there is no connection between the suspects .,B-per I-per O O O O O O O O O O O O O O O O O O O O
134,The fighting in Darfur pits rebels against government-backed Arab militia and has sent hundreds of thousands of people fleeing into Chad .,O O O B-geo O O O O B-gpe O O O O O O O O O O O B-geo O
135,"Public rallies in Sana'a against President SALIH - inspired by similar demonstrations in Tunisia and Egypt - slowly built momentum starting in late January 2011 fueled by complaints over high unemployment , poor economic conditions , and corruption .",O O O O O B-per O O O O O O O B-geo O B-geo O O O O O O O B-tim I-tim O O O O O O O O O O O O O O
136,South Africa 's cricket team has scored 218-5 in its first innings in response to the West Indies ' total of 243 on the second day of their second test match at Newlands in Cape Town .,B-geo I-geo O O O O O O O O O O O O O O B-geo I-geo O O O O O O O O O O O O O O B-geo O B-geo I-geo O
137,"Experts say those who learn how to manage the disease early , can live healthier and more normal lives .",O O O O O O O O O O O O O O O O O O O O
138,"The 52-year-old movie actor-turned-musician filed an April 3 lawsuit against Mahee Worldwide Ventures Inc. , accusing it of fraud and breach of contract .",O O O O O O B-tim I-tim O O B-org I-org I-org I-org O O O O O O O O O O
139,"Meanwhile , officials in Britain , Thailand , and the Philippines all reported new swine flu deaths Monday .",O O O O B-geo O B-geo O O O B-org O O O O O O B-tim O
140,"President Bush has praised relations with Afghanistan , India , and Pakistan in a radio address to the United States while he is traveling in South Asia .",B-per I-per O O O O B-geo O B-geo O O B-geo O O O O O O B-geo I-geo O O O O O B-geo I-geo O
141,"In the wake of Hurricane Katrina , world oil prices and gasoline prices spiked to all-time highs .",O O O O O O O O O O O O O O O O O O
142,The International Development Association is one of the largest sources of assistance for the world 's poorest countries .,O B-org I-org I-org O O O O O O O O O O O O O O O
143,"The Associated Press also reports that Philippine Foreign Undersecretary Jose Brillantes urged the estimated 6,000 Filipinos now working across the Middle East to take precautions against possible attacks in the region .",B-org I-org I-org O O O B-org I-org I-org I-org I-org O O O O B-gpe O O O O B-geo I-geo O O O O O O O O O O
144,"Since his 1998 election , President Chavez has enacted controversial reform laws , including a 2001 land law aimed at narrowing the gap between Venezuela 's rich and poor .",O O B-tim O O B-per I-per O O O O O O O O B-tim O O O O O O O O B-geo O O O O O
145,"In 1997 , an IMF mission to Gabon criticized the government for overspending on off-budget items , overborrowing from the central bank , and slipping on its schedule for privatization and administrative reform .",O B-tim O O B-org O O B-org O O O O O O O O O O O O O O O O O O O O O O O O O O
146,"The island nation has been able to attract foreign business and investment , especially in its offshore banking and tourism industries , with a surge in foreign direct investment in 2006 , attributed to the construction of several tourism projects .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-tim O O O O O O O O O O
147,Ukraine 's Central Election Commission has declared Prime Minister Viktor Yanukovych the winner of Sunday 's disputed presidential election .,B-geo O B-org I-org I-org O O B-per O B-per I-per O O O B-tim O O O O O
148,"Also , with help from EU funds , the government is taking steps to improve the poor national road and rail network , a long-standing barrier to sustained economic growth .",O O O O O B-org O O O O O O O O O O O O O O O O O O O O O O O O O
149,"It says the increasing use of English and half-English phrases is damaging the purity of the Chinese language and disrupting the nation 's "" harmonious and healthy cultural environment . """,O O O O O O B-art O O O O O O O O O B-gpe O O O O O O O O O O O O O O
150,It says Sudan 's allegations are unfriendly because Chad has contributed to the peaceful resolution of the Darfur crisis through its mediation with the African Union .,O O B-gpe O O O O O B-geo O O O O O O O O B-org O O O O O O B-geo I-geo O
151,"Police waded into the crowd of at least 10,000 activists in a Baku square after protest leaders announced their intention to remain on the scene beyond the time authorities had allotted for the demonstration .",O O O O O O O O O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O
152,Both have denied the allegations .,O O O O O O
153,Education officials said the teachers have been dismissed for impregnating students and committing other sexual offenses .,O O O O O O O O O O O O O O O O O
154,He gave no other details about the gravesite .,O O O O O O O O O
155,Manouchehr Mottaki was to hold talks with his Saudi counterpart Prince Saud al-Faisal in Jeddah Wednesday .,B-per I-per O O O O O O O O B-per I-per I-per O B-geo B-tim O
156,China 's state media said she expressed the Chinese president 's congratulatory wishes on the 60th anniversary of the founding of the North 's Workers ' Party of Korea .,B-geo O O O O O O O B-gpe O O O O O O B-tim O O O O O O B-geo O O O O O B-geo O
157,"Set during the Falklands War , the film will cover the 17 days leading up to Britain 's 1982 conflict with Argentina .",O O O B-geo B-eve O O O O O O O O O O O B-geo O B-tim O O B-geo O
158,"The Israelis replied and said they wanted General Electric , General Motors , and General Dynamics .",O B-gpe O O O O O B-org I-org O B-org I-org O O B-org I-org O
159,"The 1995 agreement ended a brutal ethnic war that killed more than 2,00,000 people .",O B-tim O O O O O O O O O O O O O
160,Norwegian negotiator Erik Solheim said the recent surge in violence has put Sri Lanka 's truce at risk .,B-gpe O B-per I-per O O O O O O O O B-org I-org O O O O O
161,Mr. Allawi changed his travel plans after the alleged plot was uncovered .,B-per I-per O O O O O O O O O O O
162,"The latest deal calls for a solution to refugee and security problems , but does not include detailed proposals .",O O O O O O O O O O O O O O O O O O O O
163,"Australia 's first woman prime minister was sworn in again Tuesday , less than three months after she deposed her predecessor .",B-org O O O O O O O O O B-tim O O O O O O O O O O O
164,Both governments have expressed a willingness to open the border but have failed to resolve differences on how to do it .,O O O O O O O O O O O O O O O O O O O O O O
165,Mr. Yushchenko late Friday called for fresh elections to be held on December 12 .,B-per I-per O B-tim O O O O O O O O B-tim I-tim O
166,Morocco 's state news agency quotes the Interior Ministry as saying the group consisted of 24 militants .,B-geo O O O O O O B-org I-org O O O O O O O O O
167,"A Pentagon spokesman , Geoff Morrell , said Israel wants to be able to counter missile attacks possibly from Iran as well as rockets fired from Palestinian territories .",O B-org O O B-per I-per O O B-geo O O O O O O O O O O B-geo O O O O O O B-gpe O O
168,U.S. Secretary of State Condoleezza Rice says Israeli and Palestinian representatives are discussing peace initiatives behind closed doors .,B-org O O B-org B-per I-per O B-gpe O B-gpe O O O O O O O O O
169,Many of the homeless are still living in tent cities .,O O O O O O O O O O O
170,"South Yemen is feared to have become a base for al-Qaida 's local branch , Al-Qaida in the Arabian Peninsula .",B-geo I-geo O O O O O O O O B-org O O O O B-org O O B-geo I-geo O
171,It said there were no reports of casualties .,O O O O O O O O O
172,The Bosnian State Court said Dragan Zelenovic was handed over late Thursday .,O B-gpe B-org I-org O B-per I-per O O O O B-tim O
173,"One Afghan soldier was killed and four others , including a U.S. soldier , were injured in the fighting .",O B-gpe O O O O O O O O O B-gpe O O O O O O O O
174,"Despite the rising claims for unemployment insurance , U.S. companies are squeezing more productivity out of their shrinking workforces .",O O O O O O O O B-gpe O O O O O O O O O O O
